FEvals,Fitness
50.0,13.875
102.0,34.75
153.0,35.333333333333336
154.0,35.0
204.0,35.4
205.0,36.0
206.0,36.0
255.0,36.333333333333336
256.0,35.5
258.0,37.0
306.0,36.333333333333336
307.0,36.0
308.0,36.0
309.0,37.0
357.0,37.0
358.0,36.5
359.0,36.0
360.0,37.0
409.0,37.0
410.0,37.5
411.0,37.5
460.0,37.0
461.0,37.5
462.0,37.5
511.0,37.0
512.0,37.5
513.0,37.5
562.0,37.5
563.0,37.75
564.0,38.0
565.0,38.0
613.0,37.5
614.0,38.333333333333336
615.0,39.0
616.0,38.0
664.0,37.5
665.0,38.5
666.0,40.0
667.0,38.5
715.0,37.5
716.0,38.5
717.0,40.0
718.0,38.5
766.0,37.5
767.0,38.0
768.0,40.333333333333336
769.0,38.5
818.0,39.5
819.0,40.333333333333336
820.0,38.0
821.0,41.0
869.0,39.5
870.0,40.333333333333336
871.0,38.0
872.0,41.0
920.0,39.5
921.0,40.0
922.0,40.333333333333336
923.0,41.0
971.0,39.5
972.0,40.0
973.0,40.333333333333336
974.0,41.0
1022.0,39.5
1024.0,41.25
1025.0,41.0
1073.0,39.5
1075.0,41.25
1076.0,41.0
1124.0,41.0
1126.0,42.333333333333336
1127.0,41.0
1175.0,41.0
1177.0,42.333333333333336
1179.0,42.0
1226.0,41.0
1228.0,42.333333333333336
1230.0,42.0
1277.0,41.0
1279.0,42.333333333333336
1282.0,43.0
1329.0,43.0
1330.0,43.0
1331.0,42.0
1333.0,43.0
1380.0,43.0
1381.0,43.0
1383.0,43.0
1384.0,43.0
1431.0,43.0
1432.0,43.0
1434.0,43.0
1435.0,43.0
1482.0,43.0
1483.0,44.0
1485.0,43.0
1486.0,43.0
1533.0,43.0
1534.0,44.0
1536.0,43.0
1537.0,43.0
1585.0,44.0
1587.0,43.0
1588.0,43.0
1636.0,44.0
1639.0,43.5
1687.0,44.0
1690.0,43.5
1738.0,44.0
1741.0,43.5
1789.0,44.0
1792.0,43.5
1840.0,44.0
1843.0,44.0
1891.0,44.0
1894.0,44.0
1942.0,44.0
1945.0,44.0
1993.0,44.0
1996.0,44.0
2044.0,44.0
2048.0,45.0
2095.0,44.0
2099.0,45.0
2150.0,45.0
2201.0,45.0
2252.0,45.0
2303.0,45.0
2354.0,45.0
2406.0,46.0
2457.0,46.0
2508.0,46.0
2559.0,46.0
2610.0,46.0
2661.0,46.0
2712.0,46.0
2763.0,46.0
2814.0,46.0
2865.0,46.0
2916.0,46.0
